,Unnamed: 0,id,source,sentence_1,sentence_2,label,binary-label
0,0,boostcamp-sts-v1-train-000,nsmc-sampled,스릴도있고 반전도 있고 여느 한국영화 쓰레기들하고는 차원이 다르네요~,반전도 있고 사랑도 있고 재밌네요.,2.2,0.0
1,2,boostcamp-sts-v1-train-002,petition-sampled,주택청약조건 변경해주세요.,주택청약 무주택 기준을 변경해주세요.,2.4,0.0
2,5,boostcamp-sts-v1-train-005,nsmc-rtt,오마이가뜨지져스크롸이스트휏,오마이갓 죠스 크론 이스트 팬,2.6,1.0
3,10,boostcamp-sts-v1-train-010,slack-rtt,그 책부터 언능 꺼내봐야 겠어요!,책에서 꺼낼게요!,2.4,0.0
4,13,boostcamp-sts-v1-train-013,nsmc-sampled,글쎄.. 특색도 없고 별로였던 걸로 기억하는데..,큰 반전은 없었던 것 같은데...,1.8,0.0
5,30,boostcamp-sts-v1-train-030,petition-rtt,금융워원회의 공모주 개인 배정 축소(폐지)를 막아주세요,금융감독원의 공모주 개인 배분 축소(폐지)를 막아주세요.,4.4,1.0
6,31,boostcamp-sts-v1-train-031,slack-rtt,지금 아주 만족해요.,지금은 매우 만족하고 있습니다.,4.4,1.0
7,39,boostcamp-sts-v1-train-039,petition-sampled,휴교령을 내려주세요,대구광역시 휴교령을 내려주세요.,2.8,1.0
8,43,boostcamp-sts-v1-train-043,petition-rtt,의료계 환경 개선 및 경찰소방공무원 지원해주세요,의료환경 개선과 경찰·소방관의 지원을 부탁드립니다.,4.4,1.0
9,53,boostcamp-sts-v1-train-053,nsmc-sampled,"다만, 관객에 대한 배려가 없다.",이 정도 수준으로 극장에 보내는 것은 관객에 대한 모독이다.,1.8,0.0
10,56,boostcamp-sts-v1-train-056,nsmc-sampled,제일 좋은것같던데..,나는 이게 제일 재미있었어.,1.6,0.0
11,63,boostcamp-sts-v1-train-063,slack-sampled,부트캠프 프로그램 얘기부터 추천 도메인 얘기까지 순식간에 시간이 흘러가서 너무 아쉬웠습니다 ㅎㅎ,각자의 업무와 부트 캠프 이야기부터 앞으로 진로 이야기까지 했더니 1시간 넘게 수다를 떨었네요.,2.0,0.0
12,66,boostcamp-sts-v1-train-066,slack-sampled,식당도 진짜 멋졌어요,정말 너무너무 멋져요!!,2.8,1.0
13,73,boostcamp-sts-v1-train-073,nsmc-sampled,감성을 자극하진 못한다.,감성을 자극한 좋은 영화,1.6,0.0
14,75,boostcamp-sts-v1-train-075,petition-sampled,문재인님불만하지마세요,문재인 씨 제발 욕하지 마세요.,1.6,0.0
15,78,boostcamp-sts-v1-train-078,slack-rtt,과연 나중에 다시 작업을 통해 만나 뵙게 될 수 있을지 궁금해하며 마무리했습니다.,앞으로 일을 통해 다시 만날 수 있을까 싶었다.,2.4,0.0
16,80,boostcamp-sts-v1-train-080,petition-sampled,가상화페규제 반대합니다,암호화폐 거래소의 패지 반대,2.8,1.0
17,85,boostcamp-sts-v1-train-085,slack-rtt,"저도 클라이밍 너무 배우고 싶은데, 기회가 된다면 함께 하면 좋을 것 같습니다!!!",저도 클라이밍을 정말 배우고 싶은데 기회가 된다면 같이 해보는 것도 좋을 것 같아요.,4.4,1.0
18,89,boostcamp-sts-v1-train-089,slack-sampled,여기 왕갈비 드시고 이 광경을 구경하시면 정말 멋지죠.,왕갈비 최고였어요. 정자에 부는 시원한 바람도 일품이었습니다. 짱짱~,1.4,0.0
19,92,boostcamp-sts-v1-train-092,nsmc-sampled,그냥 재밌으니까 ㅋ,재밌으니까 좀 보세요.,2.8,1.0
20,98,boostcamp-sts-v1-train-098,slack-sampled,오늘이 우리 회사에 입사한지 100일째 되는 날입니다!,벌써 입사한지 4개월 정도 지났네요.,2.8,1.0
21,112,boostcamp-sts-v1-train-112,petition-sampled,민간어린이집과 가정어린이집에 현장에 맞추어서 법을 만들어 주십시요,민간어린이집과 가정 어린이집에 운영비를 지원해 주시기 바랍니다.,2.0,0.0
22,114,boostcamp-sts-v1-train-114,slack-sampled,여러분 다들 맛점 하셨나요~~~,여러분 아첨하세요~,2.8,1.0
23,117,boostcamp-sts-v1-train-117,petition-rtt,나경원비서 욕설건으로 나경원비서와 나경원의원 특검요청합니다,나경원 비서관과 나경원,2.6,1.0
24,127,boostcamp-sts-v1-train-127,petition-sampled,청원모아주세요 중국발 미세먼지,중국발 미세먼지 대책을 강구해 주세요.,2.2,0.0
25,130,boostcamp-sts-v1-train-130,slack-rtt,저희가 지향하는 바가 비슷했었는데,우리는 같은 것을 목표로 하고 있었다,2.0,0.0
26,132,boostcamp-sts-v1-train-132,nsmc-sampled,이런류의 영화가 지루하기 쉽지 않은데 희한하게 지루하네..,상어가 나오는 영화가 이렇게 지루할 수 있다는 것에 박수를 보낸다.,2.0,0.0
27,137,boostcamp-sts-v1-train-137,slack-rtt,"평화로 어딘가일 경우, 한수위",평화로운 곳이라면 최고,2.5,1.0
28,144,boostcamp-sts-v1-train-144,slack-sampled,금요일에 모인다는 첩보가..,금요일에 더 이야기해요~!!,1.4,0.0
