id,target
boostcamp-sts-v1-test-000,2.5
boostcamp-sts-v1-test-001,3.6
boostcamp-sts-v1-test-002,1.4
boostcamp-sts-v1-test-003,1.2
boostcamp-sts-v1-test-004,3.0
boostcamp-sts-v1-test-005,2.7
boostcamp-sts-v1-test-006,3.5
boostcamp-sts-v1-test-007,0.4
boostcamp-sts-v1-test-008,0.6
boostcamp-sts-v1-test-009,3.4
boostcamp-sts-v1-test-010,0.9
boostcamp-sts-v1-test-011,2.7
boostcamp-sts-v1-test-012,2.6
boostcamp-sts-v1-test-013,2.3
boostcamp-sts-v1-test-014,1.1
boostcamp-sts-v1-test-015,3.3
boostcamp-sts-v1-test-016,3.8
boostcamp-sts-v1-test-017,2.5
boostcamp-sts-v1-test-018,3.9
boostcamp-sts-v1-test-019,2.5
boostcamp-sts-v1-test-020,1.4
boostcamp-sts-v1-test-021,0.8
boostcamp-sts-v1-test-022,1.8
boostcamp-sts-v1-test-023,1.5
boostcamp-sts-v1-test-024,0.1
boostcamp-sts-v1-test-025,1.5
boostcamp-sts-v1-test-026,1.4
boostcamp-sts-v1-test-027,0.2
boostcamp-sts-v1-test-028,2.1
boostcamp-sts-v1-test-029,2.7
boostcamp-sts-v1-test-030,2.4
boostcamp-sts-v1-test-031,1.4
boostcamp-sts-v1-test-032,2.6
boostcamp-sts-v1-test-033,1.6
boostcamp-sts-v1-test-034,2.7
boostcamp-sts-v1-test-035,1.4
boostcamp-sts-v1-test-036,1.3
boostcamp-sts-v1-test-037,0.2
boostcamp-sts-v1-test-038,1.8
boostcamp-sts-v1-test-039,1.1
boostcamp-sts-v1-test-040,0.0
boostcamp-sts-v1-test-041,2.1
boostcamp-sts-v1-test-042,0.9
boostcamp-sts-v1-test-043,1.1
boostcamp-sts-v1-test-044,1.4
boostcamp-sts-v1-test-045,5.2
boostcamp-sts-v1-test-046,2.3
boostcamp-sts-v1-test-047,1.2
boostcamp-sts-v1-test-048,1.6
boostcamp-sts-v1-test-049,2.5
boostcamp-sts-v1-test-050,0.7
boostcamp-sts-v1-test-051,2.3
boostcamp-sts-v1-test-052,1.8
boostcamp-sts-v1-test-053,1.4
boostcamp-sts-v1-test-054,3.5
boostcamp-sts-v1-test-055,0.9
boostcamp-sts-v1-test-056,2.8
boostcamp-sts-v1-test-057,0.9
boostcamp-sts-v1-test-058,1.6
boostcamp-sts-v1-test-059,1.5
boostcamp-sts-v1-test-060,4.2
boostcamp-sts-v1-test-061,1.3
boostcamp-sts-v1-test-062,1.3
boostcamp-sts-v1-test-063,4.0
boostcamp-sts-v1-test-064,0.8
boostcamp-sts-v1-test-065,3.2
boostcamp-sts-v1-test-066,1.3
boostcamp-sts-v1-test-067,0.9
boostcamp-sts-v1-test-068,0.3
boostcamp-sts-v1-test-069,1.4
boostcamp-sts-v1-test-070,0.7
boostcamp-sts-v1-test-071,1.7
boostcamp-sts-v1-test-072,3.9
boostcamp-sts-v1-test-073,4.0
boostcamp-sts-v1-test-074,0.4
boostcamp-sts-v1-test-075,0.2
boostcamp-sts-v1-test-076,3.4
boostcamp-sts-v1-test-077,1.7
boostcamp-sts-v1-test-078,2.8
boostcamp-sts-v1-test-079,2.9
boostcamp-sts-v1-test-080,0.8
boostcamp-sts-v1-test-081,1.8
boostcamp-sts-v1-test-082,0.0
boostcamp-sts-v1-test-083,1.8
boostcamp-sts-v1-test-084,1.3
boostcamp-sts-v1-test-085,3.3
boostcamp-sts-v1-test-086,3.3
boostcamp-sts-v1-test-087,1.0
boostcamp-sts-v1-test-088,1.5
boostcamp-sts-v1-test-089,3.0
boostcamp-sts-v1-test-090,3.4
boostcamp-sts-v1-test-091,2.0
boostcamp-sts-v1-test-092,2.5
boostcamp-sts-v1-test-093,0.7
boostcamp-sts-v1-test-094,5.1
boostcamp-sts-v1-test-095,1.9
boostcamp-sts-v1-test-096,2.9
boostcamp-sts-v1-test-097,1.4
boostcamp-sts-v1-test-098,0.4
boostcamp-sts-v1-test-099,0.9
boostcamp-sts-v1-test-100,0.9
boostcamp-sts-v1-test-101,3.5
boostcamp-sts-v1-test-102,2.7
boostcamp-sts-v1-test-103,0.8
boostcamp-sts-v1-test-104,0.2
boostcamp-sts-v1-test-105,0.4
boostcamp-sts-v1-test-106,1.6
boostcamp-sts-v1-test-107,2.7
boostcamp-sts-v1-test-108,2.9
boostcamp-sts-v1-test-109,1.7
boostcamp-sts-v1-test-110,2.7
boostcamp-sts-v1-test-111,2.4
boostcamp-sts-v1-test-112,1.1
boostcamp-sts-v1-test-113,2.1
boostcamp-sts-v1-test-114,0.6
boostcamp-sts-v1-test-115,2.0
boostcamp-sts-v1-test-116,1.4
boostcamp-sts-v1-test-117,5.2
boostcamp-sts-v1-test-118,1.8
boostcamp-sts-v1-test-119,3.4
boostcamp-sts-v1-test-120,3.1
boostcamp-sts-v1-test-121,2.2
boostcamp-sts-v1-test-122,1.3
boostcamp-sts-v1-test-123,1.5
boostcamp-sts-v1-test-124,2.2
boostcamp-sts-v1-test-125,0.5
boostcamp-sts-v1-test-126,1.3
boostcamp-sts-v1-test-127,2.9
boostcamp-sts-v1-test-128,2.3
boostcamp-sts-v1-test-129,3.7
boostcamp-sts-v1-test-130,1.8
boostcamp-sts-v1-test-131,3.5
boostcamp-sts-v1-test-132,3.8
boostcamp-sts-v1-test-133,0.7
boostcamp-sts-v1-test-134,5.2
boostcamp-sts-v1-test-135,2.0
boostcamp-sts-v1-test-136,1.8
boostcamp-sts-v1-test-137,2.6
boostcamp-sts-v1-test-138,0.8
boostcamp-sts-v1-test-139,2.0
boostcamp-sts-v1-test-140,3.1
boostcamp-sts-v1-test-141,2.0
boostcamp-sts-v1-test-142,3.0
boostcamp-sts-v1-test-143,3.4
boostcamp-sts-v1-test-144,1.1
boostcamp-sts-v1-test-145,0.2
boostcamp-sts-v1-test-146,1.2
boostcamp-sts-v1-test-147,1.4
boostcamp-sts-v1-test-148,0.8
boostcamp-sts-v1-test-149,3.4
boostcamp-sts-v1-test-150,1.8
boostcamp-sts-v1-test-151,3.4
boostcamp-sts-v1-test-152,1.2
boostcamp-sts-v1-test-153,-0.0
boostcamp-sts-v1-test-154,1.1
boostcamp-sts-v1-test-155,0.7
boostcamp-sts-v1-test-156,3.5
boostcamp-sts-v1-test-157,3.8
